Time (s),Channel 1 (V)
0.001316827,0.235350734
0.001323077,0.30074533
0.001329327,0.325268303
0.001335577,0.308919654
0.001341827,0.259873708
0.001348077,0.22717641
0.001354327,0.120910193
0.001360577,-0.018053322
0.001366827,-0.124319539
0.001373077,-0.246934405
0.001379327,-0.328677649
0.001385577,-0.451292515
0.001391827,-0.614779003
0.001398077,-0.647476301
0.001404327,-0.59025603
0.001410577,-0.51668711
0.001416827,-0.443118191
0.001423077,-0.328677649
0.001429327,-0.238760081
0.001435577,-0.214237107
0.001441827,-0.214237107
0.001448077,-0.295980351
0.001454327,-0.369549271
0.001460577,-0.500338461
0.001466827,-0.614779003
0.001473077,-0.696522247
0.001479327,-0.810962789
0.001485577,-0.900880357
0.001491827,-0.958100628
0.001498077,-0.974449276
0.001504327,-0.884531708
0.001510577,-0.753742518
0.001516827,-0.524861435
0.001523077,-0.197888459
0.001529327,0.169956139
0.001535577,0.63589263
0.001541827,1.069131823
0.001548077,1.551416962
0.001554327,2.12361967
0.001560577,2.638602107
0.001566827,3.080015625
0.001573077,3.447860223
0.001579327,3.725787252
0.001585577,3.766658874
0.001591827,3.635869684
0.001598077,3.317071032
0.001604327,2.614079134
0.001610577,1.526893989
0.001616827,0.366139925
0.001623077,-0.810962789
0.001629327,-1.808230365
0.001635577,-2.576616858
0.001641827,-3.009856051
0.001648077,-3.181516864
0.001654327,-3.042553349
0.001660577,-2.61748848
0.001666827,-1.930845231
0.001673077,-0.72104522
0.001679327,0.97103993
0.001685577,2.949226434
0.001691827,5.148119697
0.001698077,7.355187284
0.001704327,9.341548113
0.001710577,10.89466975
0.001716827,11.95733192
0.001723077,12.37422246
0.001729327,12.07177246
0.001735577,11.02545894
0.001741827,9.194410274
0.001748077,6.856553496
0.001754327,4.126329148
0.001760577,1.232618311
0.001766827,-1.554826309
0.001773077,-4.162435791
0.001779327,-6.42672365
0.001785577,-8.347689883
0.001791827,-9.712802057
0.001798077,-10.4975372
0.001804327,-10.69372098
0.001810577,-10.44849125
0.001816827,-9.68010476
0.001823077,-8.372212856
0.001829327,-6.655604733
0.001835577,-4.669243904
0.001841827,-2.462176317
0.001848077,-0.075273593
0.001854327,2.377023726
0.001860577,4.747577802
0.001866827,6.930122416
0.001873077,8.744822432
0.001879327,10.19167785
0.001885577,11.05815624
0.001891827,11.35243191
0.001898077,11.08267921
0.001904327,10.2407238
0.001910577,9.047272435
0.001916827,7.494150799
0.001923077,5.712148081
0.001929327,3.856576442
0.001935577,2.009179129
0.001941827,0.22717641
0.001948077,-1.399514145
0.001954327,-2.764626319
0.001960577,-3.84363714
0.001966827,-4.58750066
0.001973077,-4.947170934
0.001979327,-4.938996609
0.001985577,-4.448537145
0.001991827,-3.647453354
0.001998077,-2.568442534
0.002004327,-1.317770901
0.002010577,0.006469651
0.002016827,1.314361555
0.002023077,2.507812917
0.002029327,3.488731845
0.002035577,4.216246716
0.002041827,4.543219692
0.002048077,4.526871043
0.002054327,4.060934552
0.002060577,3.300722383
0.002066827,2.262583185
0.002073077,1.069131823
0.002079327,-0.279631703
0.002085577,-1.628395228
0.002091827,-2.887241185
0.002098077,-3.998949303
0.002104327,-4.832730392
0.002110577,-5.437630397
0.002116827,-5.7400804
0.002123077,-5.797300671
0.002129327,-5.592942561
0.002135577,-5.192400666
0.002141827,-4.554803363
0.002148077,-3.598407408
0.002154327,-2.535745236
0.002160577,-1.301422252
0.002166827,-0.10797089
0.002173077,1.134526418
0.002179327,2.311629131
0.002185577,3.27619941
0.002191827,4.101806174
0.002198077,4.690357531
0.002204327,5.033679156
0.002210577,5.033679156
0.002216827,4.812972397
0.002223077,4.347035906
0.002229327,3.709438603
0.002235577,2.875657515
0.002241827,1.968307507
0.002248077,0.987388579
0.002254327,0.047341273
0.002260577,-0.843660086
0.002266827,-1.612046579
0.002273077,-2.233295234
0.002279327,-2.674708751
0.002285577,-2.903589834
0.002291827,-2.919938483
0.002298077,-2.789149293
0.002304327,-2.470350641
0.002310577,-2.012588475
0.002316827,-1.399514145
0.002323077,-0.79461414
0.002329327,-0.173365486
0.002335577,0.382488574
0.002341827,0.905645335
0.002348077,1.17539804
0.002354327,1.338884528
0.002360577,1.273489933
0.002366827,1.093654796
0.002373077,0.684938576
0.002379327,0.186304788
0.002385577,-0.459466839
0.002391827,-1.121587116
0.002398077,-1.775533067
0.002404327,-2.421304695
0.002410577,-2.968984429
0.002416827,-3.402223622
0.002423077,-3.786416869
0.002429327,-4.031646601
0.002435577,-4.072518223
0.002441827,-3.933554708
0.002448077,-3.598407408
0.002454327,-3.091599295
0.002460577,-2.396781722
0.002466827,-1.644743877
0.002473077,-0.79461414
0.002479327,-0.018053322
0.002485577,0.758507496
0.002491827,1.412453448
0.002498077,1.935610209
0.002504327,2.262583185
0.002510577,2.442418322
0.002516827,2.442418322
0.002523077,2.287106158
0.002529327,1.943784533
0.002535577,1.494196692
0.002541827,0.881122362
0.002548077,0.186304788
0.002554327,-0.541210083
0.002560577,-1.244201982
0.002566827,-1.906322258
0.002573077,-2.454001992
0.002579327,-2.870892537
0.002585577,-3.165168215
0.002591827,-3.320480379
0.002598077,-3.345003352
0.002604327,-3.238737135
0.002610577,-2.960810105
0.002616827,-2.592965507
0.002623077,-2.094331719
0.002629327,-1.546651984
0.002635577,-0.974449276
0.002641827,-0.402246569
0.002648077,0.15360749
0.002654327,0.701287225
0.002660577,1.159049391
0.002666827,1.543242638
0.002673077,1.870215614
0.002679327,2.066399399
0.002685577,2.246234536
0.002691827,2.336152104
0.002698077,2.377023726
0.002704327,2.319803456
0.002710577,2.115445346
0.002716827,1.886564263
0.002723077,1.559591287
0.002729327,1.150875067
0.002735577,0.725810198
0.002741827,0.292571005
